Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
WT_LPS_1	Extraction			WT_LPS_1	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_LPS_1	FILES/RAW_FILES/20170804_008.raw	Data transformation	WT_LPS_1	FILES/DERIVED_FILES/20170804_008.mzXML	Metabolite identification	WT_LPS_1	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_LPS_2	Extraction			WT_LPS_2	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_LPS_2	FILES/RAW_FILES/20170804_015.raw	Data transformation	WT_LPS_2	FILES/DERIVED_FILES/20170804_015.mzXML	Metabolite identification	WT_LPS_2	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_LPS_3	Extraction			WT_LPS_3	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_LPS_3	FILES/RAW_FILES/20170804_016.raw	Data transformation	WT_LPS_3	FILES/DERIVED_FILES/20170804_016.mzXML	Metabolite identification	WT_LPS_3	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_LPS_4	Extraction			WT_LPS_4	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_LPS_4	FILES/RAW_FILES/20170804_017.raw	Data transformation	WT_LPS_4	FILES/DERIVED_FILES/20170804_017.mzXML	Metabolite identification	WT_LPS_4	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_LPS_5	Extraction			WT_LPS_5	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_LPS_5	FILES/RAW_FILES/20170804_023.raw	Data transformation	WT_LPS_5	FILES/DERIVED_FILES/20170804_023.mzXML	Metabolite identification	WT_LPS_5	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_LPS_6	Extraction			WT_LPS_6	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_LPS_6	FILES/RAW_FILES/20170804_027.raw	Data transformation	WT_LPS_6	FILES/DERIVED_FILES/20170804_027.mzXML	Metabolite identification	WT_LPS_6	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_N_1	Extraction			WT_N_1	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_N_1	FILES/RAW_FILES/20170804_004.raw	Data transformation	WT_N_1	FILES/DERIVED_FILES/20170804_004.mzXML	Metabolite identification	WT_N_1	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_N_2	Extraction			WT_N_2	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_N_2	FILES/RAW_FILES/20170804_005.raw	Data transformation	WT_N_2	FILES/DERIVED_FILES/20170804_005.mzXML	Metabolite identification	WT_N_2	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_N_3	Extraction			WT_N_3	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_N_3	FILES/RAW_FILES/20170804_010.raw	Data transformation	WT_N_3	FILES/DERIVED_FILES/20170804_010.mzXML	Metabolite identification	WT_N_3	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_N_4	Extraction			WT_N_4	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_N_4	FILES/RAW_FILES/20170804_011.raw	Data transformation	WT_N_4	FILES/DERIVED_FILES/20170804_011.mzXML	Metabolite identification	WT_N_4	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
