Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Genotype]	Term Source REF	Term Accession Number	Factor Value[Stimulation]	Term Source REF	Term Accession Number
KO_LPS_1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_LPS_1	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO_LPS_2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_LPS_2	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO_LPS_3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_LPS_3	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO_LPS_4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_LPS_4	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO_LPS_5	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_LPS_5	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO_LPS_6	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_LPS_6	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
KO_N_1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_N_1	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
KO_N_2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_N_2	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
KO_N_3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_N_3	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
KO_N_4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	KO_N_4	ACLY	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
