Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20150707_QC_006_NEG	Extraction	120 μl isopropanol	none	20150707_QC_006_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_006_NEG	FILES/20150707_QC_006_NEG.raw.zip	Data transformation	20150707_QC_006_NEG		Metabolite identification	20150707_QC_006_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_007_NEG	Extraction	120 μl isopropanol	none	20150707_QC_007_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_007_NEG	FILES/20150707_QC_007_NEG.raw.zip	Data transformation	20150707_QC_007_NEG		Metabolite identification	20150707_QC_007_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_008_NEG	Extraction	120 μl isopropanol	none	20150707_QC_008_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_008_NEG	FILES/20150707_QC_008_NEG.raw.zip	Data transformation	20150707_QC_008_NEG		Metabolite identification	20150707_QC_008_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_009_NEG	Extraction	120 μl isopropanol	none	20150707_QC_009_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_009_NEG	FILES/20150707_QC_009_NEG.raw.zip	Data transformation	20150707_QC_009_NEG		Metabolite identification	20150707_QC_009_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_010_NEG	Extraction	120 μl isopropanol	none	20150707_QC_010_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_010_NEG	FILES/20150707_QC_010_NEG.raw.zip	Data transformation	20150707_QC_010_NEG		Metabolite identification	20150707_QC_010_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006001_NEG	Extraction	120 μl isopropanol	none	MS15006001_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006001_NEG	FILES/MS15006001_NEG.raw.zip	Data transformation	MS15006001_NEG		Metabolite identification	MS15006001_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006031_NEG	Extraction	120 μl isopropanol	none	MS15006031_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006031_NEG	FILES/MS15006031_NEG.raw.zip	Data transformation	MS15006031_NEG		Metabolite identification	MS15006031_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006091_NEG	Extraction	120 μl isopropanol	none	MS15006091_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006091_NEG	FILES/MS15006091_NEG.raw.zip	Data transformation	MS15006091_NEG		Metabolite identification	MS15006091_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006002_NEG	Extraction	120 μl isopropanol	none	MS15006002_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006002_NEG	FILES/MS15006002_NEG.raw.zip	Data transformation	MS15006002_NEG		Metabolite identification	MS15006002_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006092_NEG	Extraction	120 μl isopropanol	none	MS15006092_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006092_NEG	FILES/MS15006092_NEG.raw.zip	Data transformation	MS15006092_NEG		Metabolite identification	MS15006092_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006003_NEG	Extraction	120 μl isopropanol	none	MS15006003_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006003_NEG	FILES/MS15006003_NEG.raw.zip	Data transformation	MS15006003_NEG		Metabolite identification	MS15006003_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006033_NEG	Extraction	120 μl isopropanol	none	MS15006033_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006033_NEG	FILES/MS15006033_NEG.raw.zip	Data transformation	MS15006033_NEG		Metabolite identification	MS15006033_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
