Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20150707_QC_006_POS	Extraction	120 μl isopropanol	none	20150707_QC_006_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_006_POS	FILES/20150707_QC_006_POS.raw.zip	Data transformation	20150707_QC_006_POS		Metabolite identification	20150707_QC_006_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_007_POS	Extraction	120 μl isopropanol	none	20150707_QC_007_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_007_POS	FILES/20150707_QC_007_POS.raw.zip	Data transformation	20150707_QC_007_POS		Metabolite identification	20150707_QC_007_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_008_POS	Extraction	120 μl isopropanol	none	20150707_QC_008_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_008_POS	FILES/20150707_QC_008_POS.raw.zip	Data transformation	20150707_QC_008_POS		Metabolite identification	20150707_QC_008_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_009_POS	Extraction	120 μl isopropanol	none	20150707_QC_009_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_009_POS	FILES/20150707_QC_009_POS.raw.zip	Data transformation	20150707_QC_009_POS		Metabolite identification	20150707_QC_009_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_010_POS	Extraction	120 μl isopropanol	none	20150707_QC_010_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_010_POS	FILES/20150707_QC_010_POS.raw.zip	Data transformation	20150707_QC_010_POS		Metabolite identification	20150707_QC_010_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006001_POS	Extraction	120 μl isopropanol	none	MS15006001_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006001_POS	FILES/MS15006001_POS.raw.zip	Data transformation	MS15006001_POS		Metabolite identification	MS15006001_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006031_POS	Extraction	120 μl isopropanol	none	MS15006031_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006031_POS	FILES/MS15006031_POS.raw.zip	Data transformation	MS15006031_POS		Metabolite identification	MS15006031_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006091_POS	Extraction	120 μl isopropanol	none	MS15006091_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006091_POS	FILES/MS15006091_POS.raw.zip	Data transformation	MS15006091_POS		Metabolite identification	MS15006091_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006002_POS	Extraction	120 μl isopropanol	none	MS15006002_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006002_POS	FILES/MS15006002_POS.raw.zip	Data transformation	MS15006002_POS		Metabolite identification	MS15006002_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006092_POS	Extraction	120 μl isopropanol	none	MS15006092_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006092_POS	FILES/MS15006092_POS.raw.zip	Data transformation	MS15006092_POS		Metabolite identification	MS15006092_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
