Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
iBAT ZT_00 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_008.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_00 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_009.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_00 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_012.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_00 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_013.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_03 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_019.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_03 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_020.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_03 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_023.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_03 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_024.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_030.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_031.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_06 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_034.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
