Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Zeitgeber time]	Unit	Term Source REF	Term Accession Number
iBAT ZT_00 rep1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_00 rep1	0	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_00 rep2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_00 rep2	0	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_00 rep3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_00 rep3	0	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_00 rep4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_00 rep4	0	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_03 rep1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_03 rep1	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_03 rep2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_03 rep2	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_03 rep3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_03 rep3	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_03 rep4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_03 rep4	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_06 rep1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_06 rep1	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
iBAT ZT_06 rep2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	brown adipose tissue	BTO	http://purl.obolibrary.org/obo/BTO_0000156	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	iBAT ZT_06 rep2	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
