Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
KO24hLPS_01	Extraction			KO24hLPS_01	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO24hLPS_01	FILES/RAW_FILES/20180928_030.raw	Data transformation	KO24hLPS_01	FILES/DERIVED_FILES/20180928_030.mzXML	Metabolite identification	KO24hLPS_01	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO24hLPS_02	Extraction			KO24hLPS_02	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO24hLPS_02	FILES/RAW_FILES/20180928_029.raw	Data transformation	KO24hLPS_02	FILES/DERIVED_FILES/20180928_029.mzXML	Metabolite identification	KO24hLPS_02	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO24hLPS_03	Extraction			KO24hLPS_03	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO24hLPS_03	FILES/RAW_FILES/20180928_008.raw	Data transformation	KO24hLPS_03	FILES/DERIVED_FILES/20180928_008.mzXML	Metabolite identification	KO24hLPS_03	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO24hLPS_04	Extraction			KO24hLPS_04	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO24hLPS_04	FILES/RAW_FILES/20180928_053.raw	Data transformation	KO24hLPS_04	FILES/DERIVED_FILES/20180928_053.mzXML	Metabolite identification	KO24hLPS_04	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO24hLPS_05	Extraction			KO24hLPS_05	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO24hLPS_05	FILES/RAW_FILES/20180928_058.raw	Data transformation	KO24hLPS_05	FILES/DERIVED_FILES/20180928_058.mzXML	Metabolite identification	KO24hLPS_05	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO24hLPS_06	Extraction			KO24hLPS_06	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO24hLPS_06	FILES/RAW_FILES/20180928_048.raw	Data transformation	KO24hLPS_06	FILES/DERIVED_FILES/20180928_048.mzXML	Metabolite identification	KO24hLPS_06	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT24hLPS_01	Extraction			WT24hLPS_01	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT24hLPS_01	FILES/RAW_FILES/20180928_017.raw	Data transformation	WT24hLPS_01	FILES/DERIVED_FILES/20180928_017.mzXML	Metabolite identification	WT24hLPS_01	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT24hLPS_02	Extraction			WT24hLPS_02	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT24hLPS_02	FILES/RAW_FILES/20180928_006.raw	Data transformation	WT24hLPS_02	FILES/DERIVED_FILES/20180928_006.mzXML	Metabolite identification	WT24hLPS_02	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT24hLPS_03	Extraction			WT24hLPS_03	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT24hLPS_03	FILES/RAW_FILES/20180928_044.raw	Data transformation	WT24hLPS_03	FILES/DERIVED_FILES/20180928_044.mzXML	Metabolite identification	WT24hLPS_03	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT24hLPS_04	Extraction			WT24hLPS_04	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT24hLPS_04	FILES/RAW_FILES/20180928_013.raw	Data transformation	WT24hLPS_04	FILES/DERIVED_FILES/20180928_013.mzXML	Metabolite identification	WT24hLPS_04	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
