database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	iBAT ZT_00 rep1	iBAT ZT_00 rep2	iBAT ZT_00 rep3	iBAT ZT_00 rep4	iBAT ZT_03 rep1	iBAT ZT_03 rep2	iBAT ZT_03 rep3	iBAT ZT_03 rep4	iBAT ZT_06 rep1	iBAT ZT_06 rep2	iBAT ZT_06 rep3	iBAT ZT_06 rep4	iBAT ZT_09 rep1	iBAT ZT_09 rep2	iBAT ZT_09 rep3	iBAT ZT_09 rep4	iBAT ZT_12 rep1	iBAT ZT_12 rep2	iBAT ZT_12 rep3	iBAT ZT_12 rep4	iBAT ZT_15 rep1	iBAT ZT_15 rep2	iBAT ZT_15 rep3	iBAT ZT_15 rep4	iBAT ZT_18 rep1	iBAT ZT_18 rep2	iBAT ZT_18 rep3	iBAT ZT_18 rep4	iBAT ZT_21 rep1	iBAT ZT_21 rep2	iBAT ZT_21 rep3	iBAT ZT_21 rep4
	C35H70O8P1N1			PE(30:0)	662.4779	[M-H]-															11.5249	10.9256	7.90019	10.8411	10.5224	10.9707	12.6088	9.17946	7.23178	6.91113	13.5753	8.92983	7.90002	6.65435	11.3012	10.4773	9.64912	8.89748	7.58532	10.5922	14.134	8.64282	12.9767	14.9281	4.06174	9.69867	10.1327	10.3943	4.78991	12.2456	10.538	8.49072
	C35H68O8P1N1			PE(30:1)	660.4623	[M-H]-															7.38593	6.38976	5.22754	9.2126	8.31788	10.5401	18.2701	13.2558	5.55282	5.37044	12.382	6.18141	5.83816	4.65876	10.5617	7.25945	11.6175	6.77875	3.54084	9.00448	11.6844	4.10272	8.59444	9.11677	4.2858	7.13884	6.75721	8.72151	4.5746	8.74617	7.30425	5.9558
	C35H66O8P1N1			PE(30:2)	658.4465	[M-H]-															0.573476	0.306244	0.332319	0.793203	0.601169	1.23994	2.32217	1.50427	0.852041	0.389802	1.00438	0.546411	0.614468	0.294071	0.747709	0.554244	0.762075	0.616991	0.168711	0.793778	0.824552		0.771055	0.945896	0.306352	0.388429	0.281585	0.469156	0.270345	0.822895	0.205246	0.527656
	C36H70O8P1N1			PE(31:1)	674.4777	[M-H]-															0.629165	0.603387	0.441856	0.852217	0.396348	0.705442	0.914349	0.749041	0.424055	0.252443	1.15802	0.57369	0.403783	0.335178	0.639432	0.634122	0.44413	0.530657	0.215159	0.718563	0.737176	0.278674	0.547944	0.860796	0.400959	0.763595	0.513528	0.923953	0.413344	0.683451	0.47498	0.445151
	C37H74O8P1N1			PE(32:0)	690.5089	[M-H]-															51.6587	48.0367	36.9001	38.8035	40.7976	40.3553	43.4101	30.8408	32.7534	28.8872	43.5393	36.8141	33.0056	27.9493	44.0885	40.2369	35.4893	31.1723	34.3382	48.3071	58.4029	35.5887	62.0742	66.4447	16.5866	38.0971	50.0263	41.6542	23.0505	47.2015	39.0274	31.4252
	C37H72O8P1N1			PE(32:1)	688.4932	[M-H]-															156.552	138.55	121.933	203.759	132.331	184.84	345.133	244.434	120.97	111.376	186.933	121.638	106.433	99.2925	216.122	118.537	205.656	102.61	69.858	160.366	195.206	67.3425	143.564	169.06	110.733	158.911	152.324	194.503	148.383	146.988	148.583	135.941
	C37H70O8P1N1			PE(32:2)	686.4777	[M-H]-															50.6807	45.0918	38.3908	63.3014	50.731	68.8254	153.929	110.843	42.8941	40.173	79.1582	40.5895	40.8347	35.2856	80.7829	43.7281	86.9794	43.0368	23.5704	61.4787	71.0744	21.5571	50.6685	60.051	32.4176	46.8657	49.1109	56.1166	42.7885	53.7552	51.7483	44.1577
	C38H76O8P1N1			PE(33:0)	704.5249	[M-H]-															1.25008	1.25117	0.738073	1.11738	0.65903	0.867897	0.657396	0.418784	0.647324	0.542517	1.21678	0.81039	0.868248	0.624082	0.713601	1.11841	0.413145	1.46117	0.706829	0.997645	1.42368	1.37518	1.37942	1.6428	0.281862	0.688041	1.00228	0.935053	0.750404	1.10052	0.421217	0.51586
	C38H74O8P1N1			PE(33:1)	702.5091	[M-H]-															5.61617	5.31998	3.14856	5.4274	4.40515	4.21594	5.34131	4.57568	3.58992	3.29523	5.38422	3.92818	3.41367	3.65432	4.45941	3.99259	5.62625	3.79566	3.54057	4.2826	5.10355	3.59283	4.85948	5.31731	2.52449	4.13382	4.68385	5.19833	4.65392	5.39746	4.58592	3.54083
	C38H72O8P1N1			PE(33:2)	700.4936	[M-H]-															5.56699	4.43384	2.86873	7.20912	3.73512	3.55698	4.55279	4.05587	5.38319	3.29621	5.76176	2.82062	3.74578	2.92353	4.65767	4.15081	4.03599	3.49991	3.29071	3.96482	4.52977	2.23616	4.00361	4.24422	3.70402	5.28019	5.65409	5.38469	5.24155	4.26919	5.06444	3.01963
